CSV DOWNLOAD
GPSlog232R2 v2.0 - ID:6112
DATE;TIME;LONDEG;LATDEG;HMSL;FIX;HACC;SV;TTFF;TEMP;VBAT;
000101;000155;0.0000000;90.0000000;487.000;NO;9998.976;0;0;13827;3.521;
000101;010155;0.0000000;90.0000000;487.000;NO;9998.976;0;0;14973;3.507;
150825;234459;0.0000000;90.0000000;487.000;NO;9998.976;0;0;15129;3.501;
150826;000155;0.0000000;90.0000000;487.000;NO;9998.976;0;0;15123;3.487;
150826;010155;0.0000000;90.0000000;487.000;NO;9998.976;0;0;15237;3.499;
150826;020150;-50.6871134;67.0092918;-34.954;2D;3.792;5;86;15429;3.508;
150826;030155;0.0000000;90.0000000;487.000;NO;9998.976;0;0;15545;3.500;
150826;040150;0.0000000;90.0000000;487.000;NO;9998.976;0;0;15747;3.501;
150826;050150;0.0000000;90.0000000;487.000;NO;9998.976;0;0;15935;3.505;
150826;060155;0.0000000;90.0000000;487.000;NO;9998.976;0;0;16069;3.499;
150826;070150;0.0000000;90.0000000;487.000;NO;9998.976;0;0;16131;3.501;
150826;080155;0.0000000;90.0000000;487.000;NO;9998.976;0;0;16065;3.498;
150826;090155;0.0000000;90.0000000;487.000;NO;9998.976;0;0;16127;3.498;
150826;100155;0.0000000;90.0000000;487.000;NO;9998.976;0;0;16255;3.498;
150826;110150;-50.6954118;67.0113081;-33.532;3D;31.440;4;33;17212;3.511;
150826;120150;-50.6955431;67.0113976;-34.494;3D;44.810;6;47;22041;3.490;
150826;130150;-50.6954759;67.0116338;30.751;3D;2.652;6;41;23167;3.475;
150826;140150;-50.6953980;67.0116672;46.342;3D;3.249;6;47;23304;3.475;
150826;150150;-50.6955884;67.0117154;57.930;3D;3.727;8;47;23041;3.463;
150826;160150;-50.6956254;67.0117339;46.356;3D;4.345;6;35;21694;3.479;
150826;170150;-50.6957971;67.0118010;42.835;3D;8.406;5;47;17990;3.479;
150826;200150;-49.1579907;66.9910344;1091.234;3D;2.673;9;35;25022;3.482;
150826;210150;-49.1579804;66.9910460;1096.398;3D;2.563;9;35;28094;3.472;
150826;220150;-49.1580090;66.9910301;1097.254;3D;2.936;8;35;31679;3.456;
150826;230150;-49.1579820;66.9910312;1103.712;3D;1.211;12;35;34426;3.441;
150827;000150;-49.1579731;66.9910242;1093.986;3D;1.273;10;35;36222;3.442;
150827;010150;-49.1579808;66.9910062;1092.464;3D;1.600;9;39;36676;3.441;
150827;020150;-49.1579677;66.9910358;1097.541;3D;1.186;12;35;36734;3.439;
150827;030150;-49.1579703;66.9910352;1099.766;3D;1.195;11;35;36604;3.438;
150827;040150;-49.1579782;66.9910370;1096.099;3D;1.595;11;35;36542;3.438;
150827;050150;-49.1579683;66.9910359;1098.446;3D;1.666;11;35;36478;3.433;
150827;060150;-49.1579837;66.9910296;1094.601;3D;1.351;10;35;36086;3.429;
150827;070150;-49.1579815;66.9910411;1099.282;3D;1.793;8;35;36028;3.439;
150827;080150;-49.1579590;66.9910397;1094.226;3D;1.818;11;41;33774;3.439;
150827;090150;-49.1580053;66.9910526;1101.886;3D;2.812;9;35;33660;3.447;
150827;100150;-49.1579770;66.9910108;1084.936;3D;1.808;8;41;31111;3.450;
150827;110150;-49.1579722;66.9910358;1092.503;3D;1.658;10;35;28927;3.458;
150827;120150;-49.1580025;66.9910433;1095.534;3D;1.486;11;35;27058;3.456;
150827;130150;-49.1579771;66.9910471;1099.090;3D;1.467;10;35;25855;3.451;
150827;140150;-49.1579920;66.9910328;1091.129;3D;1.156;13;35;23486;3.466;
150827;150150;-49.1580087;66.9910544;1097.325;3D;1.590;13;35;22014;3.470;
150827;160150;-49.1579746;66.9910754;1097.425;3D;1.724;11;35;22334;3.476;
150827;170150;-49.1579768;66.9910384;1100.392;3D;1.711;11;35;22143;3.474;
150827;180150;-49.1579663;66.9910308;1095.817;3D;1.355;11;35;22966;3.473;
150827;190150;-49.1580043;66.9910198;1095.644;3D;1.574;9;35;24446;3.476;
150827;200150;-49.1579879;66.9910252;1094.519;3D;2.419;9;35;25022;3.470;
150827;210150;-49.1579831;66.9910381;1093.807;3D;2.624;9;35;25564;3.468;
150827;220150;-49.1580101;66.9910422;1095.256;3D;2.198;8;35;25910;3.466;
150827;230150;-49.1579696;66.9910235;1103.041;3D;1.511;11;41;25867;3.467;
150828;000150;-49.1579677;66.9910288;1095.327;3D;1.310;10;35;25918;3.471;
150828;010150;-49.1579756;66.9910148;1093.324;3D;1.839;9;35;26177;3.468;
150828;020150;-49.1579513;66.9910383;1100.054;3D;1.260;12;35;26371;3.470;
150828;030150;-49.1579763;66.9910455;1098.170;3D;1.227;11;35;26945;3.468;
150828;040150;-49.1579864;66.9910287;1094.473;3D;1.366;12;35;27070;3.463;
150828;050150;-49.1580064;66.9910270;1095.809;3D;1.431;12;35;27134;3.456;
150828;060150;-49.1580009;66.9910251;1096.005;3D;1.645;9;35;26881;3.458;
150828;070150;-49.1579582;66.9910141;1086.187;3D;3.803;6;41;26799;3.457;
150828;080150;-49.1579747;66.9910492;1095.899;3D;1.999;11;35;26891;3.465;
150828;090150;-49.1580326;66.9910711;1102.613;3D;1.972;9;41;26618;3.468;
150828;100150;-49.1580218;66.9910243;1094.178;3D;2.006;8;41;26494;3.464;
150828;110150;-49.1580025;66.9910393;1092.707;3D;1.588;10;35;26303;3.467;
150828;120150;-49.1580002;66.9910770;1105.826;3D;1.718;9;35;25598;3.468;
150828;130150;-49.1579775;66.9910592;1099.847;3D;1.467;10;35;25418;3.471;
150828;140150;-49.1580141;66.9910372;1091.276;3D;1.131;13;35;24639;3.468;
150828;150150;-49.1579968;66.9910511;1098.731;3D;1.598;13;35;24767;3.471;
150828;160150;-49.1579928;66.9910607;1102.099;3D;1.574;11;35;23870;3.468;
150828;170150;-49.1579875;66.9910401;1095.298;3D;2.493;10;35;24259;3.473;
150828;180150;-49.1579810;66.9910307;1094.804;3D;1.618;11;35;24574;3.468;
150828;190150;-49.1579809;66.9910132;1093.940;3D;2.350;9;41;25058;3.471;
150828;200150;-49.1579906;66.9910290;1093.489;3D;2.294;9;41;25534;3.472;
150828;210150;-49.1579653;66.9910530;1096.168;3D;2.399;8;35;26209;3.455;
150828;220150;-49.1579663;66.9910376;1097.629;3D;1.861;10;35;26367;3.465;
150828;230150;-49.1579974;66.9910351;1101.097;3D;1.232;10;35;26498;3.464;
150829;000150;-49.1579859;66.9910289;1094.434;3D;1.289;10;35;26622;3.465;
150829;010150;-49.1579819;66.9910099;1092.801;3D;1.992;9;35;26558;3.464;
150829;020150;-49.1580026;66.9910279;1099.982;3D;1.311;12;35;26494;3.463;
150829;030150;-49.1579886;66.9910324;1098.834;3D;1.189;11;35;26494;3.465;
150829;040150;-49.1580065;66.9910320;1094.871;3D;1.739;10;35;26558;3.466;
150829;050150;-49.1580005;66.9910312;1097.634;3D;1.396;12;35;26430;3.464;
150829;060150;-49.1579958;66.9910263;1094.205;3D;1.332;11;35;26367;3.464;
150829;070150;-49.1579946;66.9910166;1095.809;3D;1.539;8;41;26436;3.465;
150829;080150;-49.1579863;66.9910394;1094.906;3D;1.986;11;41;26558;3.465;
150829;090150;-49.1580432;66.9910594;1104.365;3D;2.688;10;41;26169;3.468;
150829;100150;-49.1580259;66.9910021;1087.336;3D;1.963;8;41;25916;3.465;
150829;110150;-49.1580221;66.9910365;1094.237;3D;2.143;9;35;25723;3.468;
150829;120150;-49.1580159;66.9910480;1099.076;3D;1.309;10;35;25470;3.465;
150829;130150;-49.1579809;66.9910225;1095.443;3D;1.656;8;35;24773;3.471;
150829;140150;-49.1580125;66.9910277;1094.953;3D;1.246;11;35;24446;3.468;
150829;150150;-49.1579960;66.9910642;1103.634;3D;1.427;13;35;24508;3.471;
150829;160150;-49.1579945;66.9910825;1097.423;3D;2.114;10;41;23944;3.471;
150829;170150;-49.1579732;66.9910352;1097.502;3D;1.476;10;35;24062;3.463;
150829;180150;-49.1580055;66.9910392;1095.459;3D;1.725;10;41;23679;3.469;
150829;190150;-49.1580089;66.9910384;1096.807;3D;2.205;10;41;25086;3.460;
150829;200150;-49.1579943;66.9910313;1095.146;3D;2.671;9;35;24958;3.469;
150829;210150;-49.1579712;66.9910432;1097.387;3D;1.715;10;35;25538;3.467;
150829;220150;-49.1579491;66.9910384;1101.967;3D;1.960;10;35;26046;3.468;
150829;230150;-49.1580049;66.9910405;1101.781;3D;1.538;11;35;26229;3.464;
150830;000150;-49.1579911;66.9910255;1095.547;3D;1.267;11;35;26253;3.453;
150830;010150;-49.1580091;66.9910048;1090.778;3D;1.761;9;35;26299;3.459;
150830;020150;-49.1580013;66.9910156;1095.381;3D;1.373;12;35;26430;3.464;
150830;030150;-49.1580043;66.9910330;1098.081;3D;1.160;12;35;26367;3.465;
150830;040150;-49.1579908;66.9910267;1096.377;3D;1.410;11;35;26432;3.463;
150830;050150;-49.1580028;66.9910227;1096.347;3D;1.576;11;35;26430;3.465;
150830;060150;-49.1579895;66.9910226;1094.253;3D;1.934;10;41;26357;3.467;
150830;070150;-49.1579943;66.9910191;1095.576;3D;1.495;8;41;26562;3.465;
150830;080150;-49.1579907;66.9910323;1094.385;3D;1.916;11;41;26115;3.462;
150830;090150;-49.1580311;66.9910543;1103.373;3D;2.677;10;41;25470;3.470;
150830;100150;-49.1580068;66.9910390;1096.639;3D;1.725;10;35;22713;3.473;
150830;110150;-49.1580334;66.9910360;1095.126;3D;1.277;10;41;24255;3.472;
150830;120150;-49.1579938;66.9910393;1098.856;3D;1.328;11;35;24087;3.469;
150830;130150;-49.1579950;66.9910325;1095.544;3D;1.367;10;35;22334;3.473;
150830;140150;-49.1579962;66.9910383;1096.609;3D;1.133;13;35;22782;3.475;
150830;150150;-49.1579912;66.9910456;1099.984;3D;1.432;12;35;21950;3.470;
150830;160150;-49.1579893;66.9910705;1100.077;3D;2.268;10;35;22974;3.479;
150830;170150;-49.1579922;66.9910342;1094.434;3D;1.945;9;35;22079;3.460;
150830;180150;-49.1579933;66.9910382;1097.087;3D;1.322;11;41;22910;3.467;
150830;190150;-49.1579989;66.9910309;1097.931;3D;2.485;9;35;24261;3.468;
150830;200150;-49.1580054;66.9910352;1097.945;3D;2.541;9;41;24645;3.464;
150830;210150;-49.1580085;66.9910469;1103.430;3D;2.991;8;35;25598;3.465;
150830;220150;-49.1579881;66.9910365;1100.640;3D;1.778;10;35;26046;3.466;
150830;230150;-49.1579935;66.9910179;1102.030;3D;1.386;10;35;26108;3.453;
150831;000150;-49.1580160;66.9910257;1095.328;3D;1.337;10;35;26430;3.463;
150831;010150;-49.1579954;66.9910125;1095.618;3D;1.582;11;35;25887;3.463;
150831;020150;-49.1579881;66.9910347;1098.543;3D;1.221;12;35;26110;3.455;
150831;030150;-49.1579897;66.9910508;1097.664;3D;1.300;10;35;26046;3.468;
150831;040150;-49.1580020;66.9910312;1095.718;3D;1.368;12;35;25791;3.468;
150831;050150;-49.1580318;66.9910299;1098.898;3D;1.693;10;35;25601;3.466;
150831;060150;-49.1580160;66.9910278;1097.329;3D;1.346;11;41;26175;3.465;
150831;070150;-49.1580121;66.9910194;1094.742;3D;1.433;8;41;26034;3.468;
150831;080150;-49.1580096;66.9910476;1097.103;3D;1.383;11;41;26110;3.467;
150831;090150;-49.1580389;66.9910555;1104.089;3D;2.509;10;35;25727;3.468;
150831;100150;-49.1580467;66.9910044;1088.383;3D;1.743;9;41;25460;3.465;
150831;110150;-49.1580408;66.9910348;1094.685;3D;1.600;10;41;25022;3.464;
150831;120150;-49.1580155;66.9910395;1099.613;3D;1.319;11;35;24510;3.464;
150831;130150;-49.1579939;66.9910366;1094.098;3D;1.407;12;41;25791;3.465;
150831;140150;-49.1580248;66.9910306;1092.232;3D;1.270;12;41;25470;3.466;
150831;150150;-49.1580222;66.9910707;1104.999;3D;1.489;12;35;25532;3.456;
150831;160150;-49.1580284;66.9910329;1099.474;3D;1.908;11;35;24382;3.470;
150831;170150;-49.1580248;66.9910247;1097.255;3D;1.441;10;35;24767;3.465;
150831;180150;-49.1580205;66.9910394;1095.151;3D;2.213;9;41;25279;3.467;
150831;190150;-49.1580181;66.9910331;1100.781;3D;2.363;10;41;24382;3.468;
150831;200150;-49.1580152;66.9910342;1098.581;3D;1.520;9;35;25510;3.469;
150831;210150;-49.1580207;66.9910436;1103.472;3D;2.948;9;35;26046;3.466;
150831;220150;-49.1580109;66.9910279;1097.904;3D;1.979;9;35;27002;3.450;
150831;230150;-49.1580366;66.9910190;1099.929;3D;1.263;11;35;28542;3.463;
150901;000150;-49.1580179;66.9910240;1097.037;3D;1.358;10;35;28799;3.451;
150901;010150;-49.1580190;66.9910148;1095.809;3D;1.605;11;35;29630;3.455;
150901;020150;-49.1580037;66.9910192;1097.011;3D;1.912;11;35;29433;3.446;
150901;030150;-49.1580054;66.9910355;1095.825;3D;1.393;10;35;29662;3.453;
150901;040150;-49.1579999;66.9910233;1095.531;3D;1.363;11;35;30142;3.453;
150901;050150;-49.1580146;66.9910316;1099.792;3D;1.266;11;35;30190;3.444;
